LAST SEEN   TYPE      REASON                         OBJECT                                        MESSAGE
58m         Normal    Pulled                         pod/portal-web-84bd8bb87c-fm7sj               (combined from similar events): Successfully pulled image "localhost:5001/securerag-hub-portal-web:demo" in 5.295s (5.295s including waiting). Image size: 268260149 bytes.
54m         Warning   FailedCreate                   replicaset/portal-web-84bd8bb87c              Error creating: Internal error occurred: failed calling webhook "mutate.kyverno.svc-fail": failed to call webhook: Post "https://kyverno-svc.kyverno.svc:443/mutate/fail?timeout=30s": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
54m         Warning   FailedCreate                   replicaset/auth-users-8f47d4955               Error creating: Internal error occurred: failed calling webhook "mutate.kyverno.svc-fail": failed to call webhook: Post "https://kyverno-svc.kyverno.svc:443/mutate/fail?timeout=30s": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
54m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/portal-web            invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
54m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/portal-web            failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
53m         Warning   FailedCreate                   replicaset/auth-users-557c884c45              Error creating: Internal error occurred: failed calling webhook "mutate.kyverno.svc-fail": failed to call webhook: Post "https://kyverno-svc.kyverno.svc:443/mutate/fail?timeout=30s": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
53m         Warning   FailedCreate                   replicaset/auth-users-8f47d4955               Error creating: Internal error occurred: failed calling webhook "mutate.kyverno.svc-fail": failed to call webhook: Post "https://kyverno-svc.kyverno.svc:443/mutate/fail?timeout=30s": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/portal-web            invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
40m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/portal-web            failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
38m         Normal    Pulled                         pod/portal-web-84bd8bb87c-fm7sj               Successfully pulled image "localhost:5001/securerag-hub-portal-web:demo" in 10.898s (10.898s including waiting). Image size: 268260149 bytes.
35m         Normal    Killing                        pod/portal-web-84bd8bb87c-fm7sj               Container portal-web failed startup probe, will be restarted
35m         Warning   Unhealthy                      pod/audit-security-service-5dc8b86497-srmhp   Liveness probe failed: Get "http://10.244.0.96:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
34m         Warning   UpdateFailed                   externalsecret/db-credentials-es              error retrieving secret at .data[0], key: database/credentials, err: the desired SecretStore vault-backend is not ready
34m         Warning   UpdateFailed                   externalsecret/securerag-common-secrets       error retrieving secret at .data[0], key: securerag/common-secrets, err: the desired SecretStore vault-backend is not ready
31m         Warning   Unhealthy                      pod/auth-users-557c884c45-skbzz               Readiness probe failed: Get "http://10.244.0.174:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
30m         Warning   Unhealthy                      pod/conversation-service-7678f59b49-fqg8b     Liveness probe failed: Get "http://10.244.0.116:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
29m         Warning   Unhealthy                      pod/chatbot-manager-5c868487d8-gh4sv          Readiness probe failed: Get "http://10.244.0.251:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
29m         Warning   Unhealthy                      pod/postgres-auth-fbf55db78-kwlh4             Liveness probe failed: command timed out: "pg_isready -U securerag -d auth_users" timed out after 3s
