[INFO] Waiting for Kyverno PolicyReports (1/12)
NAME                                   ADMISSION   BACKGROUND   READY   AGE    MESSAGE
securerag-audit-cleartext-env-values   true        true         True    166m   Ready
securerag-require-pod-security         true        true         True    166m   Ready
securerag-require-workload-controls    true        true         True    166m   Ready
securerag-restrict-image-references    true        true         True    166m   Ready
securerag-restrict-service-exposure    true        true         True    166m   Ready
securerag-restrict-volume-types        true        true         True    166m   Ready
securerag-verify-cosign-images         true        false        True    166m   Ready
NAMESPACE       NAME                                   KIND         NAME                                      PASS   FAIL   WARN   ERROR   SKIP   AGE
securerag-hub   03f73506-96ab-4300-8730-4d821bfe7eb2   Deployment   conversation-service                      5      1      0      0       0      166m
securerag-hub   08aec842-a907-42e6-8aa3-826491530446   ReplicaSet   auth-users-58df94bcb8                     4      0      0      0       0      166m
securerag-hub   08ed2f51-b714-41cd-82dc-17e93fb40b84   Pod          auth-users-58df94bcb8-2cbgb               6      0      0      0       0      166m
securerag-hub   10d2332e-d6f2-4d32-ba9c-4294d8f71275   Pod          portal-web-6859f8c7b7-kjdgj               6      0      0      0       0      166m
securerag-hub   1965aabc-b568-4845-bb12-dd5a04c6761f   ReplicaSet   portal-web-676676cbdf                     4      0      0      0       0      166m
securerag-hub   1ec40370-ef54-4025-9ecb-12d4d4de86eb   ReplicaSet   audit-security-service-568984ff67         4      0      0      0       0      166m
securerag-hub   1f4cfed8-f22c-49d5-9035-e3d7ecdb3795   Pod          conversation-service-6c9f48ff84-tk7zx     6      0      0      0       0      166m
securerag-hub   216004af-8d94-443c-bcd3-3aa436e568f1   ReplicaSet   conversation-service-749bb7fc99           4      0      0      0       0      166m
securerag-hub   44561ac1-9616-4527-b1ba-4f9d20f0a90f   Deployment   portal-web                                5      1      0      0       0      166m
securerag-hub   56bee8be-968d-4b51-b213-e9dac6f53c96   ReplicaSet   portal-web-6859f8c7b7                     4      0      0      0       0      166m
securerag-hub   6378e464-7319-45a5-bf23-f96f224c0cbc   Pod          chatbot-manager-659cdc7cdc-db6dr          6      0      0      0       0      166m
securerag-hub   65edc1f5-fb8a-4779-b942-bf7b2d350297   Pod          audit-security-service-568984ff67-mmgg7   6      0      0      0       0      166m
securerag-hub   6fc3a056-f3d6-4a7d-8485-f71252fd5a06   Pod          portal-web-6859f8c7b7-k64rs               6      0      0      0       0      166m
securerag-hub   7598095a-54b1-4f13-8b84-670356654408   ReplicaSet   audit-security-service-b6b5b766d          4      0      0      0       0      166m
securerag-hub   7bd50a1d-c515-4224-bb58-e8c285938307   Deployment   auth-users                                5      1      0      0       0      166m
securerag-hub   7de21b8d-7b2d-452d-89c1-227d45b7cac6   Pod          audit-security-service-568984ff67-pjtzt   6      0      0      0       0      166m
securerag-hub   89783974-2085-42f0-a2d5-b8a1001be76f   Deployment   chatbot-manager                           5      1      0      0       0      166m
securerag-hub   9eba446d-e217-403b-9ae4-8354f139fd3f   Pod          portal-web-6859f8c7b7-lwthj               6      0      0      0       0      166m
securerag-hub   a923338c-173d-4cb6-b2e0-308dc4c3596d   Pod          conversation-service-6c9f48ff84-z8qhh     6      0      0      0       0      166m
securerag-hub   adc5e9bf-b5dc-454f-a1b2-659f56800259   Service      audit-security-service                    1      0      0      0       0      166m
securerag-hub   af7a79fb-4fae-4c5c-99c4-c48f6f75c9d7   ReplicaSet   conversation-service-6c9f48ff84           4      0      0      0       0      166m
securerag-hub   b259dc35-8405-47f8-9dd7-a9f46cb1ffa5   Service      conversation-service                      1      0      0      0       0      166m
securerag-hub   b30550fa-4323-49f7-991b-7b2bc4a2645b   Pod          auth-users-58df94bcb8-ncghs               6      0      0      0       0      166m
securerag-hub   c817afc3-0cf7-4167-867e-79c0cef7559f   ReplicaSet   chatbot-manager-5fcdb45757                4      0      0      0       0      166m
securerag-hub   cb2ea73e-d98e-4e97-bf27-57d3aab7356d   Service      portal-web                                1      0      0      0       0      166m
securerag-hub   d218a986-d8d3-42ff-b2c9-af62855acc89   Deployment   audit-security-service                    5      1      0      0       0      166m
securerag-hub   d47a51cf-e4d5-413b-911e-7a97dc540695   Service      auth-users                                1      0      0      0       0      166m
securerag-hub   de9d6614-8d80-4b4f-a848-1a9c67bc5889   ReplicaSet   auth-users-697479f954                     4      0      0      0       0      166m
securerag-hub   e85d1e13-5f5d-4f88-ba41-93b2cc3d8fe5   Service      chatbot-manager                           1      0      0      0       0      166m
securerag-hub   ef190e8b-9559-4fb8-a1de-fc3f4e49aabd   Pod          chatbot-manager-659cdc7cdc-25cgq          6      0      0      0       0      166m
securerag-hub   f6641f60-9055-4222-a9f1-9f2a9c93fa0c   ReplicaSet   chatbot-manager-659cdc7cdc                4      0      0      0       0      166m
No resources found
