LAST SEEN   TYPE      REASON                         OBJECT                                        MESSAGE
71s         Warning   PolicyViolation                service/postgres-auth                         policy securerag-restrict-service-exposure/allow-nodeport-only-for-portal-web fail: Only portal-web may use NodePort in the local demo overlay; LoadBalancer is forbidden.
72s         Warning   PolicyViolation                pod/postgres-auth-867ddc6dc8-w9xgr            policy securerag-restrict-image-references/restrict-registries fail: validation failure: validation error: Runtime images must come from localhost:5001 or ghcr.io. rule restrict-registries[0] failed at path /image/ rule restrict-registries[1] failed at path /image/
71s         Warning   PolicyViolation                pod/postgres-auth-867ddc6dc8-w9xgr            policy securerag-restrict-image-references/restrict-registries fail: validation failure: validation error: Runtime images must come from localhost:5001 or ghcr.io. rule restrict-registries[0] failed at path /image/ rule restrict-registries[1] failed at path /image/
42s         Warning   PolicyViolation                pod/postgres-auth-867ddc6dc8-w9xgr            policy securerag-restrict-image-references/restrict-registries fail: validation failure: validation error: Runtime images must come from localhost:5001 or ghcr.io. rule restrict-registries[0] failed at path /image/ rule restrict-registries[1] failed at path /image/
42s         Warning   PolicyViolation                service/postgres-auth                         policy securerag-restrict-service-exposure/allow-nodeport-only-for-portal-web fail: Only portal-web may use NodePort in the local demo overlay; LoadBalancer is forbidden.
13m         Normal    Scheduled                      pod/portal-web-68d97f97f-2sjcd                Successfully assigned securerag-hub/portal-web-68d97f97f-2sjcd to securerag-dev-worker
13m         Normal    Scheduled                      pod/auth-users-799b8b5664-whwzb               Successfully assigned securerag-hub/auth-users-799b8b5664-whwzb to securerag-dev-worker
13m         Normal    SuccessfulCreate               replicaset/auth-users-c4b94d64b               Created pod: auth-users-c4b94d64b-t6k79
13m         Normal    ScalingReplicaSet              deployment/conversation-service               Scaled up replica set conversation-service-778479dbbf from 0 to 1
13m         Normal    SuccessfulCreate               replicaset/conversation-service-778479dbbf    Created pod: conversation-service-778479dbbf-wwfcx
13m         Normal    ScalingReplicaSet              deployment/portal-web                         Scaled up replica set portal-web-6ff6cd4545 from 0 to 1
13m         Normal    ScalingReplicaSet              deployment/postgres-auth                      Scaled up replica set postgres-auth-867ddc6dc8 from 0 to 1
13m         Normal    SuccessfulCreate               replicaset/postgres-auth-867ddc6dc8           Created pod: postgres-auth-867ddc6dc8-w9xgr
13m         Normal    ScalingReplicaSet              deployment/portal-web                         Scaled up replica set portal-web-68d97f97f from 0 to 1
13m         Normal    ScalingReplicaSet              deployment/audit-security-service             Scaled up replica set audit-security-service-5fddbb654 from 0 to 1
13m         Normal    Scheduled                      pod/conversation-service-778479dbbf-wwfcx     Successfully assigned securerag-hub/conversation-service-778479dbbf-wwfcx to securerag-dev-worker
13m         Normal    SuccessfulCreate               replicaset/audit-security-service-5fddbb654   Created pod: audit-security-service-5fddbb654-n5ltk
13m         Normal    ScalingReplicaSet              deployment/chatbot-manager                    Scaled up replica set chatbot-manager-779b7cc44b from 0 to 1
13m         Normal    Scheduled                      pod/postgres-auth-867ddc6dc8-w9xgr            Successfully assigned securerag-hub/postgres-auth-867ddc6dc8-w9xgr to securerag-dev-worker
13m         Normal    SuccessfulCreate               replicaset/chatbot-manager-779b7cc44b         Created pod: chatbot-manager-779b7cc44b-bskxh
13m         Normal    SuccessfulCreate               replicaset/portal-web-6ff6cd4545              Created pod: portal-web-6ff6cd4545-swmh5
13m         Normal    SuccessfulCreate               replicaset/portal-web-68d97f97f               Created pod: portal-web-68d97f97f-2sjcd
13m         Normal    SuccessfulCreate               replicaset/auth-users-799b8b5664              Created pod: auth-users-799b8b5664-whwzb
