NAME                                     READY   STATUS                       RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
audit-security-service-5fddbb654-n5ltk   0/1     ImagePullBackOff             0          13m   10.244.1.2    securerag-dev-worker   <none>           <none>
audit-security-service-b478dc875-b5s9d   0/1     ImagePullBackOff             0          13m   10.244.1.12   securerag-dev-worker   <none>           <none>
auth-users-799b8b5664-whwzb              0/1     ImagePullBackOff             0          13m   10.244.1.3    securerag-dev-worker   <none>           <none>
auth-users-c4b94d64b-t6k79               0/1     ImagePullBackOff             0          13m   10.244.1.9    securerag-dev-worker   <none>           <none>
chatbot-manager-779b7cc44b-bskxh         0/1     ImagePullBackOff             0          13m   10.244.1.4    securerag-dev-worker   <none>           <none>
chatbot-manager-976899cb8-jprbg          0/1     ImagePullBackOff             0          13m   10.244.1.10   securerag-dev-worker   <none>           <none>
conversation-service-64f99b44db-6n2vv    0/1     ImagePullBackOff             0          13m   10.244.1.11   securerag-dev-worker   <none>           <none>
conversation-service-778479dbbf-wwfcx    0/1     ImagePullBackOff             0          13m   10.244.1.5    securerag-dev-worker   <none>           <none>
portal-web-68d97f97f-2sjcd               0/1     ImagePullBackOff             0          13m   10.244.1.8    securerag-dev-worker   <none>           <none>
portal-web-6ff6cd4545-swmh5              0/1     ImagePullBackOff             0          13m   10.244.1.6    securerag-dev-worker   <none>           <none>
postgres-auth-867ddc6dc8-w9xgr           0/1     CreateContainerConfigError   0          13m   10.244.1.7    securerag-dev-worker   <none>           <none>
